Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,India,IND,..,..,..,0.442,0.48687607049942,..,0.495500683784485,..,..,..,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,China,CHN,..,..,..,0.683,0.667152404785156,..,0.671957969665527,..,..,..,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,India,IND,..,..,..,0.461,0.496322333812714,..,0.505454301834106,..,..,..,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,China,CHN,..,..,..,0.662,0.634328007698059,..,0.639979422092438,..,..,..,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,India,IND,..,..,..,0.432,0.480792373418808,..,0.4892657995224,..,..,..,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Brazil,BRA,..,..,..,0.552,0.540151596069336,..,0.546363532543182,..,..,..,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,China,CHN,..,..,..,0.657,0.640095114707947,..,0.646641552448273,..,..,..,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,India,IND,..,..,..,0.429,0.478702425956726,..,0.48725688457489,..,..,..,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,China,CHN,..,..,..,0.648,0.626458466053009,..,0.632632613182068,..,..,..,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,India,IND,..,..,..,0.421,0.473970890045166,..,0.482295364141464,..,..,..,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,China,CHN,..,..,..,0.666,0.652821958065033,..,0.659694254398346,..,..,..,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,India,IND,..,..,..,0.437,0.483405113220215,..,0.492241054773331,..,..,..,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,China,CHN,..,..,..,0.683,0.658933520317078,..,0.665241241455078,..,..,..,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,India,IND,..,..,..,0.448,0.488828241825104,..,0.49779936671257,..,..,..,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Brazil,BRA,..,..,..,0.568,0.551261603832245,..,0.556369066238403,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,China,CHN,99,99,99,99,99,99,99,99,99,99,99
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,India,IND,89,87,89,92,92,92,85,84,91,89,91
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Brazil,BRA,99,99,96,94,98,85,73,69,88,79,95
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,China,CHN,99,99,99,99,99,99,99,99,99,96,97
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,India,IND,85,87,88,89,90,91,85,85,93,91,94
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Brazil,BRA,93,96,89,83,87,70,77,68,77,90,91
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,China,CHN,99,99,99,99,99,99,99,99,99,96,96
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,India,IND,77,87,88,89,90,91,85,85,93,91,94
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Brazil,BRA,96,96,89,82,87,72,77,68,77,90,90
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,China,CHN,..,..,..,..,..,..,..,..,..,..,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,India,IND,20,45,80,89,90,91,85,85,93,91,94
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Brazil,BRA,95,96,89,79,83,72,77,68,77,90,91
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,China,CHN,99,99,99,99,99,99,99,99,99,95,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,India,IND,85,87,88,90,93,95,89,89,95,93,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Brazil,BRA,97,96,95,87,92,91,79,73,81,87,93
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,China,CHN,99,99,99,99,99,98,99,99,99,95,95
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,India,IND,60,69,76,80,82,84,81,82,90,90,92
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Brazil,BRA,89,80,77,67,76,54,44,46,58,64,68
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,China,CHN,99,99,99,99,99,99,99,99,99,97,97
